date,gross_reserves_bn,cash_deposits_abroad_bn,foreign_investments_bn,imf_sdr_bn,other_foreign_assets_bn,foreign_liabilities_bn,net_international_reserves_bn,cash_deposits_share_of_gross_reserves,foreign_investments_share_of_gross_reserves,source
2021-12-31,131.11722260040844,76.34717494894487,36.99795779441797,4.106466984343091,13.665622872702519,4.190061266167461,126.92716133424098,0.5822818195411275,0.28217466066355434,"CBUAE Statistical Bulletin February 2026, Table 6 Central Bank International Reserves"
2022-12-31,138.4348536419333,85.4496936691627,36.635262083049696,3.9553437712729753,12.394554118447925,8.580803267528932,129.85405037440438,0.6172556362878194,0.2646390061408098,"CBUAE Statistical Bulletin February 2026, Table 6 Central Bank International Reserves"
2023-12-31,189.485908781484,120.77876106194691,50.96473791695031,4.011980939414568,13.730428863172227,6.117358747447243,183.3685500340368,0.6374023368736591,0.2689632081070634,"CBUAE Statistical Bulletin February 2026, Table 6 Central Bank International Reserves"
2024-03-31,203.19074200136149,133.2705241660994,50.60122532334922,3.975493533015657,15.343498978897209,4.230088495575222,198.96065350578627,0.6558887617291461,0.24903312436848213,"CBUAE Statistical Bulletin February 2026, Table 6 Central Bank International Reserves"
2024-06-30,213.75166780122532,145.3998638529612,48.93723621511232,3.916133424098026,15.49843430905378,4.148127978216474,209.60353982300884,0.6802279736510561,0.2289443479833835,"CBUAE Statistical Bulletin February 2026, Table 6 Central Bank International Reserves"
2024-09-30,226.90782845473112,158.68618107556162,50.411708645336965,4.042205582028591,13.767733151803949,6.059087814840027,220.8487406398911,0.6993420286828934,0.22216822129340624,"CBUAE Statistical Bulletin February 2026, Table 6 Central Bank International Reserves"
2024-12-31,238.18543226684818,158.41252552756978,59.60844111640572,3.8889040163376447,16.27556160653506,7.092988427501702,231.0924438393465,0.6650806643375831,0.25026065007042125,"CBUAE Statistical Bulletin February 2026, Table 6 Central Bank International Reserves"
2025-03-31,258.58107556160655,127.01130020422056,116.0716133424098,3.943635125936011,11.554526889040163,7.828999319264806,250.75207624234176,0.4911855978956214,0.44887899507075846,"CBUAE Statistical Bulletin February 2026, Table 6 Central Bank International Reserves"
2025-06-30,268.0560925799864,113.90360789652826,137.78025867937373,4.11572498298162,12.25650102110279,7.509053778080327,260.54703880190607,0.4249245253119553,0.5139978627356171,"CBUAE Statistical Bulletin February 2026, Table 6 Central Bank International Reserves"
2025-09-30,270.12688904016335,93.69748127978217,158.18788291354664,4.0933968686181075,14.148127978216475,6.821783526208305,263.3051055139551,0.34686469611639037,0.5856058368555334,"CBUAE Statistical Bulletin February 2026, Table 6 Central Bank International Reserves"
2025-12-31,292.17574967713097,91.64757412797269,179.72662814921247,4.077331518039483,16.72421588190629,6.880264733978592,285.29548494315236,0.31367276110097403,0.6151319140887617,"CBUAE Statistical Bulletin February 2026, Table 6 Central Bank International Reserves"
2026-01-31,299.3802586793737,77.73859768550034,201.73070115724983,4.115452688904016,15.795507147719539,9.546085772634445,289.8341729067393,0.2596650762091691,0.6738276666842509,"CBUAE Statistical Bulletin February 2026, Table 6 Central Bank International Reserves"
2026-02-28,302.410347174949,73.64710687542546,207.64111640571818,4.091218515997277,17.030905377808033,7.253097345132743,295.15724982981624,0.24353368713544546,0.6866204094716198,"CBUAE Statistical Bulletin February 2026, Table 6 Central Bank International Reserves"
