series,series_name,frequency,year,month,date,value
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1996,2,1996-02,11037.06
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1996,3,1996-03,11161.55
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1996,4,1996-04,11374.84
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1996,5,1996-05,11282.23
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1996,6,1996-06,11372.66
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1996,7,1996-07,11227.75
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1996,8,1996-08,11687.02
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1996,9,1996-09,11694.1
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1996,10,1996-10,11068.12
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1996,11,1996-11,11178.71
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1996,12,1996-12,11328.54
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1997,1,1997-01,11461.2
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1997,2,1997-02,11550.0
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1997,3,1997-03,11656.51
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1997,4,1997-04,11588.14
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1997,5,1997-05,11843.65
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1997,6,1997-06,11910.67
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1997,7,1997-07,11441.04
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1997,8,1997-08,11786.18
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1997,9,1997-09,11789.45
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1997,10,1997-10,11891.32
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1997,11,1997-11,11992.11
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1997,12,1997-12,12170.99
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1998,1,1998-01,12405.16
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1998,2,1998-02,12448.45
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1998,3,1998-03,12822.31
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1998,4,1998-04,12790.18
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1998,5,1998-05,12884.12
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1998,6,1998-06,13062.48
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1998,7,1998-07,12886.3
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1998,8,1998-08,12909.45
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1998,9,1998-09,12914.35
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1998,10,1998-10,12869.97
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1998,11,1998-11,12762.41
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1998,12,1998-12,12828.3
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1999,1,1999-01,12923.88
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1999,2,1999-02,12970.44
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1999,3,1999-03,13150.7
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1999,4,1999-04,13199.17
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1999,5,1999-05,13352.47
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1999,6,1999-06,13430.89
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1999,7,1999-07,13170.85
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1999,8,1999-08,13133.55
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1999,9,1999-09,13101.14
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1999,10,1999-10,13121.29
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1999,11,1999-11,13168.94
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,1999,12,1999-12,13500.6
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2000,1,2000-01,14113.8
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2000,2,2000-02,14152.74
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2000,3,2000-03,14315.57
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2000,4,2000-04,14282.9
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2000,5,2000-05,14312.03
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2000,6,2000-06,14465.61
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2000,7,2000-07,14250.22
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2000,8,2000-08,14252.95
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2000,9,2000-09,14169.35
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2000,10,2000-10,14160.91
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2000,11,2000-11,14267.65
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2000,12,2000-12,14539.4
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2001,1,2001-01,14482.49
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2001,2,2001-02,14765.13
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2001,3,2001-03,14797.26
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2001,4,2001-04,14793.72
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2001,5,2001-05,15019.73
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2001,6,2001-06,15344.03
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2001,7,2001-07,15125.92
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2001,8,2001-08,15402.3
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2001,9,2001-09,15637.02
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2001,10,2001-10,15439.33
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2001,11,2001-11,15704.27
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2001,12,2001-12,16008.97
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2002,1,2002-01,16269.56
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2002,2,2002-02,16618.37
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2002,3,2002-03,16905.64
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2002,4,2002-04,17170.03
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2002,5,2002-05,17397.94
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2002,6,2002-06,17555.33
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2002,7,2002-07,17478.54
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2002,8,2002-08,17530.82
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2002,9,2002-09,17528.92
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2002,10,2002-10,17623.4
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2002,11,2002-11,17992.63
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2002,12,2002-12,18075.68
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2003,1,2003-01,18630.07
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2003,2,2003-02,18878.95
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2003,3,2003-03,19205.98
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2003,4,2003-04,19800.94
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2003,5,2003-05,20078.13
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2003,6,2003-06,20132.87
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2003,7,2003-07,20453.63
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2003,8,2003-08,20321.02
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2003,9,2003-09,20559.82
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2003,10,2003-10,20687.53
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2003,11,2003-11,21001.48
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2003,12,2003-12,21127.56
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2004,1,2004-01,21900.87
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2004,2,2004-02,22654.31
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2004,3,2004-03,23066.02
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2004,4,2004-04,23518.3
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2004,5,2004-05,23812.65
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2004,6,2004-06,24608.02
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2004,7,2004-07,24348.25
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2004,8,2004-08,25209.24
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2004,9,2004-09,24807.88
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2004,10,2004-10,26010.06
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2004,11,2004-11,25353.83
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2004,12,2004-12,27269.42
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2005,1,2005-01,28688.89
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2005,2,2005-02,28661.93
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2005,3,2005-03,30923.06
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2005,4,2005-04,35975.21
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2005,5,2005-05,33161.59
M1,Money Supply M1: USD mn: Monthly: United Arab Emirates,monthly,2005,6,2005-06,33317.07
